t,n_vectors,mean_speed,median_speed,mean_abs_divergence,median_abs_divergence,mean_abs_curl,median_abs_curl,mean_gradient_magnitude,median_gradient_magnitude,mean_strain_magnitude,median_strain_magnitude,max_strain_magnitude,max_gradient_magnitude
0,177,7.17124367098067,6.368324391514267,0.038268738612913536,0.03571902183660658,0.03081367058045515,0.026260144830060082,0.05543858496803808,0.05024948607393358,0.04865035268273384,0.044797722458848284,0.15458743842614656,0.1596675109860233
1,186,5.716593316687175,5.41730022261461,0.027203950515198565,0.023385416666666665,0.02578790949430799,0.019322916666666662,0.041362061395631027,0.03854907291296368,0.03515037277723993,0.03270365932275797,0.10362955274143032,0.11558105964192852
2,187,3.223915454776615,2.9154759474226504,0.017695992045335392,0.014583333333333334,0.018394010800722817,0.014237768971224855,0.029023300402918607,0.027042843230881717,0.02417849804140089,0.022115178631054312,0.06519574293074745,0.08219165864003476
3,190,2.706364641030504,2.6666666666666665,0.01692655982060414,0.013364609440267334,0.014812692366882116,0.011979166666666666,0.026314652091591794,0.02376803127076626,0.022811342973864855,0.020206604759488433,0.07256462636849996,0.1017315366813829
4,184,2.893126646903825,2.3643654245407215,0.02090779633384249,0.01662778613483437,0.019739954522023248,0.01533002960015528,0.03183949655428826,0.02614768791296896,0.027083699076356868,0.022301141157379807,0.09186628094250542,0.11430172728482704
5,184,2.607002342827898,2.2985898089338437,0.01937440223017373,0.016666666666666666,0.01810070915427056,0.014757375776397515,0.029233462273822505,0.025953524183784923,0.02477972664235432,0.022023019804017465,0.08339962903214211,0.10421505007819665
6,175,5.580891552436775,4.589389937671455,0.030111451409135088,0.025,0.03465387333981212,0.028073752834467128,0.05106847723085742,0.04488949868493316,0.04212374205696507,0.03832115975179016,0.10813345443022658,0.12332317138597451
7,151,7.658142064029899,7.155702735067539,0.03847548947049106,0.03017605842005676,0.0460303928816823,0.03958333333333333,0.06755346160209734,0.06336210969060646,0.05496187276126737,0.04457696098782937,0.23188307119695153,0.2899902584581204
8,177,6.604732980873131,5.993329625508679,0.03382859274610927,0.02922967951304816,0.030139080784728583,0.02264136904761905,0.0503984408672754,0.04597515935565398,0.04338567478688828,0.04168508707409641,0.1195717879309122,0.13477320243054372
9,187,5.730883998637873,5.25594901040716,0.02759182325093382,0.02333333333333333,0.02568482382014546,0.019476023363891003,0.04298549594268321,0.03860102411206211,0.036431623695344334,0.03336586953759785,0.15629180635282297,0.16260828143066117
10,190,2.586093598575334,2.3570226039551585,0.016197520940509167,0.012351738721804511,0.016537768970122674,0.011458333333333333,0.026945286450676863,0.024504779176221146,0.02262204031668847,0.021070316296036923,0.08093879646953112,0.08499601306335308
11,190,2.500377319613942,2.038558624941734,0.01620508521852878,0.012756233030492897,0.015431449031020533,0.013125,0.02550419067993929,0.023428491939233145,0.021738337411242863,0.019392740873062555,0.0796484646758597,0.0831562603154382
12,183,2.704678408703251,2.3570226039551585,0.015519263951039121,0.01230521944661289,0.016901540194197855,0.01145833333333333,0.026538646726856973,0.023851981692725902,0.02211271947491477,0.019708460028953767,0.11848242881330547,0.11866773466279702
13,177,3.9346483302377244,3.5433819375782165,0.020488117230118452,0.016059027777777776,0.023267373413344398,0.018229166666666668,0.034216918628250555,0.029344241868827153,0.02790297113690262,0.024034638451329183,0.12911192431778726,0.17443295240978973
14,171,7.53184530294734,6.8431078465854975,0.03552621299024039,0.029461239905318855,0.04009902314265195,0.03512209342801448,0.060837606125969834,0.05618013613328252,0.05054983836188654,0.04630604432985043,0.16837704736134615,0.21917926631241835
15,177,6.1894251154452276,6.036923425424944,0.028131124517220468,0.020833333333333332,0.031424474959049556,0.02355447381400771,0.04956993812954564,0.0483803476302532,0.040955116216865706,0.03939343659181826,0.11851262003696814,0.12961931966788542
16,169,7.463385108090155,6.776309271789384,0.035459750968825844,0.028890209683478912,0.027837811495640352,0.020847304404996724,0.05121011364522265,0.04503922659602536,0.0449176892743216,0.03955049350461172,0.1773007178161879,0.1773538969008337
17,195,3.657072537942095,3.3499585403736303,0.016111820231051,0.0123131105006105,0.021187671801133345,0.017708333333333333,0.03137368097441577,0.027280483376264257,0.02564021546363023,0.02192157739660984,0.11801599267715726,0.11929194367275947
