t,y_bin,x_bin,y,x,dy,dx,speed,count
0,0,4,40.0,360.0,6.0,-1.0,6.082762530298219,3
0,0,5,40.0,440.0,4.4,-1.8,4.753945729601885,5
0,0,6,40.0,520.0,10.333333333333334,2.3333333333333335,10.593499054713803,6
0,0,7,40.0,600.0,12.5,1.0,12.539936203984453,4
0,0,8,40.0,680.0,10.0,-0.25,10.003124511871277,4
0,0,9,40.0,760.0,8.6,-0.2,8.602325267042627,5
0,0,10,40.0,840.0,9.5,-7.75,12.260199835239229,4
0,0,11,40.0,920.0,11.0,-2.0,11.180339887498949,3
0,0,12,40.0,1000.0,16.333333333333332,-2.3333333333333335,16.499158227686106,3
0,1,2,120.0,200.0,4.0,-3.0,5.0,3
0,1,5,120.0,440.0,2.0,-3.0,3.605551275463989,3
0,1,6,120.0,520.0,12.25,1.25,12.313610356024752,4
0,1,7,120.0,600.0,8.5,-0.16666666666666666,8.501633829904566,6
0,1,9,120.0,760.0,12.0,-3.0,12.36931687685298,4
0,1,10,120.0,840.0,13.0,-3.6666666666666665,13.50719972623654,3
0,1,11,120.0,920.0,9.0,-5.0,10.295630140987,3
0,2,1,200.0,120.0,3.2,1.0,3.3526109228480423,5
0,2,2,200.0,200.0,5.0,-1.3333333333333333,5.174724898753341,3
0,2,3,200.0,280.0,6.5,1.0,6.576473218982953,4
0,2,4,200.0,360.0,13.5,1.5,13.583077707206124,4
0,2,5,200.0,440.0,2.25,0.5,2.3048861143232218,4
0,2,6,200.0,520.0,12.0,3.3333333333333335,12.454361128179603,3
0,2,8,200.0,680.0,13.0,-6.333333333333333,14.460674642322575,3
0,2,9,200.0,760.0,10.666666666666666,-8.0,13.333333333333334,3
0,2,10,200.0,840.0,11.666666666666666,-10.333333333333334,15.58489297008128,3
0,2,11,200.0,920.0,5.25,-1.5,5.460082416960389,4
0,3,1,280.0,120.0,7.166666666666667,1.5,7.321960878829599,6
0,3,2,280.0,200.0,5.6,1.2,5.727128425310541,5
0,3,3,280.0,280.0,8.0,0.8,8.039900496896712,5
0,3,4,280.0,360.0,12.5,-1.0,12.539936203984453,4
0,3,6,280.0,520.0,13.0,-1.0,13.038404810405298,3
0,3,8,280.0,680.0,14.0,-6.666666666666667,15.506271132817343,3
0,3,9,280.0,760.0,15.0,-5.333333333333333,15.919938581679405,3
0,3,10,280.0,840.0,11.0,-6.333333333333333,12.692955176439847,3
0,4,1,360.0,120.0,5.4,2.2,5.830951894845301,5
0,4,2,360.0,200.0,4.833333333333333,1.6666666666666667,5.112620550059322,6
0,4,3,360.0,280.0,8.6,-0.2,8.602325267042627,5
0,4,4,360.0,360.0,4.5,3.3333333333333335,5.600099205470481,6
0,4,5,360.0,440.0,6.0,5.0,7.810249675906654,3
0,4,6,360.0,520.0,8.75,1.75,8.923284148787374,4
0,4,7,360.0,600.0,7.5,-0.25,7.504165509901817,4
0,4,9,360.0,760.0,9.0,-3.0,9.486832980505138,3
0,4,10,360.0,840.0,0.3333333333333333,0.3333333333333333,0.4714045207910317,3
0,5,1,440.0,120.0,1.6666666666666667,3.6666666666666665,4.0276819911981905,3
0,5,2,440.0,200.0,1.0,4.25,4.366062299143245,4
0,5,3,440.0,280.0,2.75,4.25,5.062114182829147,4
0,5,4,440.0,360.0,-0.25,4.0,4.00780488547035,4
0,5,7,440.0,600.0,4.333333333333333,1.3333333333333333,4.533823502911814,3
0,5,8,440.0,680.0,5.666666666666667,-1.6666666666666667,5.90668171555645,3
0,5,12,440.0,1000.0,4.0,-5.0,6.4031242374328485,3
0,6,1,520.0,120.0,-1.5,5.666666666666667,5.861835131689658,6
0,6,2,520.0,200.0,-1.75,1.5,2.3048861143232218,4
0,6,3,520.0,280.0,0.5,1.25,1.346291201783626,8
0,6,4,520.0,360.0,0.0,3.0,3.0,3
0,6,5,520.0,440.0,-3.4,1.8,3.8470768123342687,5
0,6,6,520.0,520.0,-2.0,1.6666666666666667,2.6034165586355518,3
0,6,7,520.0,600.0,-1.0,1.25,1.6007810593582121,4
0,6,8,520.0,680.0,1.0,0.3333333333333333,1.0540925533894598,3
0,6,9,520.0,760.0,10.666666666666666,-5.0,11.780398031381528,3
0,6,11,520.0,920.0,-1.5,-7.75,7.893826701923472,4
0,7,1,600.0,120.0,-5.0,3.0,5.830951894845301,3
