t,y_bin,x_bin,y,x,dy,dx,speed,count
0,0,6,40.0,520.0,10.166666666666666,2.5,10.469532516359607,6
0,0,7,40.0,600.0,12.5,1.5,12.589678312014172,4
0,0,8,40.0,680.0,10.0,-0.3333333333333333,10.005554013202422,3
0,0,9,40.0,760.0,10.0,-1.0,10.04987562112089,4
0,1,5,120.0,440.0,2.3333333333333335,-3.0,3.80058475033046,3
0,1,6,120.0,520.0,14.25,1.75,14.35705401536123,4
0,1,7,120.0,600.0,8.666666666666666,0.0,8.666666666666666,6
0,1,9,120.0,760.0,8.0,0.0,8.0,4
0,2,2,200.0,200.0,4.666666666666667,-1.6666666666666667,4.955356249106169,3
0,2,3,200.0,280.0,10.0,-0.6666666666666666,10.022197585581939,3
0,2,4,200.0,360.0,13.0,2.0,13.152946437965905,4
0,2,9,200.0,760.0,10.666666666666666,-8.666666666666666,13.743685418725534,3
0,2,10,200.0,840.0,11.0,-10.666666666666666,15.322459912748272,3
0,3,1,280.0,120.0,6.666666666666667,2.0,6.960204339273701,3
0,3,2,280.0,200.0,5.8,1.4,5.966573556070519,5
0,3,3,280.0,280.0,9.2,0.6,9.219544457292887,5
0,3,4,280.0,360.0,12.5,-0.5,12.509996003196804,4
0,3,8,280.0,680.0,14.333333333333334,-7.0,15.951314818673865,3
0,4,2,360.0,200.0,4.666666666666667,1.6666666666666667,4.955356249106169,6
0,4,3,360.0,280.0,8.6,-0.4,8.609297300012352,5
0,4,4,360.0,360.0,5.833333333333333,2.5,6.346477588219923,6
0,4,5,360.0,440.0,8.0,4.0,8.94427190999916,3
0,4,6,360.0,520.0,8.75,1.75,8.923284148787374,4
0,4,7,360.0,600.0,7.75,-0.25,7.754031209635412,4
0,4,9,360.0,760.0,9.0,-3.3333333333333335,9.597453365925313,3
0,5,2,440.0,200.0,1.25,4.75,4.911720676097125,4
0,5,3,440.0,280.0,3.25,4.25,5.350233639758174,4
0,5,4,440.0,360.0,-0.3333333333333333,4.0,4.013864859597431,3
0,5,7,440.0,600.0,4.333333333333333,1.3333333333333333,4.533823502911814,3
0,5,8,440.0,680.0,5.666666666666667,-1.3333333333333333,5.821416398857661,3
0,6,1,520.0,120.0,-1.8333333333333333,6.0,6.27384340823957,6
0,6,2,520.0,200.0,-1.4,1.2,1.8439088914585773,5
0,6,3,520.0,280.0,0.625,1.375,1.5103807466993215,8
0,6,4,520.0,360.0,-0.6666666666666666,2.6666666666666665,2.748737083745107,3
0,6,5,520.0,440.0,-2.3333333333333335,3.3333333333333335,4.068851871911234,3
0,6,6,520.0,520.0,-4.75,1.5,4.981214711292819,4
0,6,7,520.0,600.0,-0.6666666666666666,1.0,1.2018504251546631,3
0,7,2,600.0,200.0,-2.3333333333333335,-0.3333333333333333,2.3570226039551585,6
0,7,3,600.0,280.0,-3.0,-4.333333333333333,5.270462766947299,6
0,7,4,600.0,360.0,-1.0,2.0,2.23606797749979,4
0,7,6,600.0,520.0,-0.3333333333333333,-1.3333333333333333,1.3743685418725535,3
0,7,7,600.0,600.0,0.0,0.3333333333333333,0.3333333333333333,3
0,7,8,600.0,680.0,-1.6666666666666667,2.3333333333333335,2.8674417556808756,3
0,8,2,680.0,200.0,-4.125,-1.0,4.244481711587412,8
0,8,3,680.0,280.0,-4.8,-3.6,6.0,5
0,8,4,680.0,360.0,-3.5,0.0,3.5,4
0,8,5,680.0,440.0,-3.3333333333333335,0.6666666666666666,3.39934634239519,3
0,8,6,680.0,520.0,-1.6666666666666667,-1.0,1.9436506316151003,3
0,8,7,680.0,600.0,-4.0,0.25,4.00780488547035,4
0,8,8,680.0,680.0,-5.0,-0.3333333333333333,5.011098792790969,3
0,8,9,680.0,760.0,-5.0,-2.3333333333333335,5.517648452415616,3
0,9,1,760.0,120.0,-7.333333333333333,-1.0,7.401201103724839,3
0,9,2,760.0,200.0,-8.333333333333334,-1.1666666666666667,8.414603707576227,6
0,9,3,760.0,280.0,-6.4,-3.4,7.247068372797377,5
0,9,4,760.0,360.0,-8.0,-2.3333333333333335,8.333333333333334,3
0,9,5,760.0,440.0,-7.75,-1.5,7.893826701923472,4
0,9,6,760.0,520.0,-5.25,-1.0,5.344389581607987,4
0,9,7,760.0,600.0,-6.333333333333333,-2.0,6.641619615057091,3
0,9,8,760.0,680.0,-7.0,-0.6666666666666666,7.031674369909662,3
0,9,9,760.0,760.0,-7.333333333333333,-3.3333333333333335,8.055363982396381,3
0,9,10,760.0,840.0,-5.333333333333333,-6.0,8.027729719194863,3
0,9,11,760.0,920.0,-1.3333333333333333,-4.666666666666667,4.85340659285368,3
0,10,1,840.0,120.0,-9.0,-4.0,9.848857801796104,4
0,10,2,840.0,200.0,-8.6,-3.4,9.247702417357514,5
0,10,3,840.0,280.0,-9.833333333333334,-4.333333333333333,10.745800213209915,6
0,10,4,840.0,360.0,-13.0,-3.25,13.400093283257396,4
0,10,5,840.0,440.0,-8.333333333333334,-3.3333333333333335,8.975274678557508,3
0,10,7,840.0,600.0,-8.666666666666666,-2.0,8.894442709417556,3
0,10,10,840.0,840.0,-8.666666666666666,-8.0,11.79453734196942,3
0,11,1,920.0,120.0,-8.5,-4.25,9.503288904374106,4
0,11,2,920.0,200.0,-7.6,-6.0,9.682974749528164,5
0,11,3,920.0,280.0,-9.333333333333334,-3.0,9.803627446568496,3
0,11,5,920.0,440.0,-6.5,-6.25,9.017344398435716,4
0,12,1,1000.0,120.0,-4.666666666666667,-4.666666666666667,6.599663291074444,3
0,12,2,1000.0,200.0,-3.6666666666666665,-3.6666666666666665,5.185449728701348,3
0,12,3,1000.0,280.0,-7.5,-3.25,8.173891362135908,4
0,12,4,1000.0,360.0,-12.25,-3.25,12.673791855636576,4
0,12,5,1000.0,440.0,-12.0,-7.0,13.892443989449804,3
0,12,6,1000.0,520.0,-1.0,1.6666666666666667,1.9436506316151003,3
0,12,7,1000.0,600.0,-11.0,-6.333333333333333,12.692955176439847,3
0,12,8,1000.0,680.0,-11.0,-7.333333333333333,13.220354676701294,3
0,12,10,1000.0,840.0,-8.0,-9.333333333333334,12.292725943057185,3
0,12,11,1000.0,920.0,-14.0,-7.0,15.652475842498529,3
0,13,2,1080.0,200.0,0.3333333333333333,-4.666666666666667,4.6785562825394,3
0,13,3,1080.0,280.0,-4.75,-2.5,5.367727638395972,4
0,13,4,1080.0,360.0,-8.5,-4.5,9.617692030835672,4
0,13,5,1080.0,440.0,-10.75,-4.5,11.653862020806665,4
0,13,6,1080.0,520.0,-9.8,-4.6,10.825894882179487,5
0,13,7,1080.0,600.0,-9.666666666666666,-3.6666666666666665,10.338708279513881,3
0,13,8,1080.0,680.0,-8.75,-3.75,9.519716382329886,4
0,13,9,1080.0,760.0,-6.75,-2.75,7.2886898685566255,4
0,14,1,1160.0,120.0,-2.25,-2.25,3.181980515339464,4
0,14,2,1160.0,200.0,1.0,-3.5,3.640054944640259,4
0,14,4,1160.0,360.0,-2.75,-2.25,3.553167600887974,4
0,14,5,1160.0,440.0,-5.5,-2.25,5.942432162002357,4
0,14,6,1160.0,520.0,-7.333333333333333,-1.0,7.401201103724839,3
0,14,7,1160.0,600.0,-7.333333333333333,-0.3333333333333333,7.340905181848413,3
0,14,8,1160.0,680.0,-5.75,2.25,6.174544517614234,4
0,14,11,1160.0,920.0,-11.0,1.3333333333333333,11.080513425729775,3
0,15,3,1240.0,280.0,1.5,-3.25,3.5794552658190883,4
0,15,4,1240.0,360.0,0.75,-2.75,2.850438562747845,4
0,15,5,1240.0,440.0,-3.25,-1.0,3.400367627183861,4
